timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-05-13T15:08:22,2.033,0.000,567.766,23,1,,
2026-05-13T15:08:24,4.056,98.400,770.598,23,1,,
2026-05-13T15:08:26,6.156,98.600,2538.340,87,8,,
2026-05-13T15:08:29,8.258,0.000,2552.645,87,8,,
2026-05-13T15:08:31,10.361,94.100,2569.832,87,8,,
2026-05-13T15:08:33,12.461,0.000,2590.762,87,8,,
2026-05-13T15:08:35,14.557,197.400,2978.137,87,8,,
2026-05-13T15:08:37,16.662,0.000,3411.672,87,8,,
2026-05-13T15:08:39,18.768,0.000,3411.672,87,8,,
2026-05-13T15:08:41,20.865,0.000,3411.672,87,8,,
