timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-06-01T21:20:00,2.063,98.400,548.488,64,1,552.000,19.000
2026-06-01T21:20:02,4.133,97.800,731.781,64,1,552.000,19.000
2026-06-01T21:20:04,6.227,98.000,935.727,133,3,552.000,38.000
2026-06-01T21:20:07,8.324,0.000,936.629,133,3,552.000,23.000
2026-06-01T21:20:09,10.422,0.000,936.340,133,3,552.000,22.000
2026-06-01T21:20:11,12.519,0.000,936.340,133,3,552.000,24.000
2026-06-01T21:20:13,14.613,0.000,936.340,133,3,552.000,27.000
2026-06-01T21:20:15,16.712,0.000,936.355,133,3,552.000,25.000
2026-06-01T21:20:17,18.813,0.000,936.355,133,3,552.000,24.000
2026-06-01T21:20:19,20.915,97.600,936.414,133,3,552.000,35.000
2026-06-01T21:20:21,23.020,97.400,936.414,133,3,552.000,34.000
2026-06-01T21:20:23,25.113,0.000,821.863,83,2,552.000,33.000
