timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-06-01T21:02:10,2.078,2755.800,542.520,64,1,552.000,22.000
2026-06-01T21:02:12,4.176,97.900,729.375,64,1,552.000,37.000
2026-06-01T21:02:14,6.261,0.000,827.465,126,1,552.000,30.000
2026-06-01T21:02:17,8.342,0.000,828.059,126,1,552.000,25.000
2026-06-01T21:02:19,10.426,97.300,828.062,126,1,552.000,18.000
2026-06-01T21:02:21,12.507,97.500,828.062,126,1,552.000,18.000
2026-06-01T21:02:23,14.588,0.000,828.062,126,1,552.000,15.000
2026-06-01T21:02:25,16.675,0.000,828.078,126,1,552.000,17.000
2026-06-01T21:02:27,18.759,0.000,828.078,126,1,552.000,23.000
2026-06-01T21:02:29,20.851,0.000,828.137,126,1,552.000,18.000
2026-06-01T21:02:31,22.940,0.000,828.137,126,1,552.000,19.000
2026-06-01T21:02:33,25.027,0.000,828.434,126,1,552.000,19.000
