timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-06-01T21:37:50,2.057,98.700,547.941,64,1,552.000,29.000
2026-06-01T21:37:52,4.139,0.000,736.176,64,1,552.000,31.000
2026-06-01T21:37:55,6.263,0.000,936.059,133,3,552.000,19.000
2026-06-01T21:37:57,8.357,0.000,936.375,133,3,552.000,21.000
2026-06-01T21:37:59,10.461,0.000,936.383,133,3,552.000,25.000
2026-06-01T21:38:01,12.566,0.000,936.383,133,3,552.000,20.000
2026-06-01T21:38:03,14.669,0.000,936.660,133,3,552.000,30.000
2026-06-01T21:38:05,16.781,97.400,936.398,133,3,552.000,23.000
2026-06-01T21:38:07,18.883,0.000,936.398,133,3,552.000,24.000
2026-06-01T21:38:09,20.986,97.600,936.457,133,3,552.000,45.000
2026-06-01T21:38:11,23.090,0.000,936.457,133,3,552.000,50.000
2026-06-01T21:38:14,25.186,0.000,821.957,82,2,552.000,46.000
