timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-06-01T22:59:45,2.078,98.300,507.184,32,1,552.000,23.000
2026-06-01T22:59:47,4.155,97.800,731.309,64,1,552.000,26.000
2026-06-01T22:59:49,6.232,0.000,842.645,126,1,552.000,32.000
2026-06-01T22:59:51,8.305,0.000,843.336,126,1,552.000,37.000
2026-06-01T22:59:53,10.401,0.000,843.336,126,1,552.000,43.000
2026-06-01T22:59:55,12.492,0.000,843.340,126,1,552.000,29.000
2026-06-01T22:59:57,14.567,0.000,843.340,126,1,552.000,34.000
2026-06-01T22:59:59,16.644,0.000,843.352,126,1,552.000,34.000
2026-06-01T23:00:01,18.720,97.800,843.355,126,1,552.000,37.000
2026-06-01T23:00:03,20.791,0.000,843.410,126,1,552.000,44.000
2026-06-01T23:00:05,22.853,98.200,843.414,126,1,552.000,56.000
2026-06-01T23:00:07,24.927,0.000,843.414,126,1,552.000,45.000
2026-06-01T23:00:10,27.012,97.500,844.066,65,1,552.000,42.000
