timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-06-02T02:09:20,2.074,0.000,527.137,33,1,413.000,4.000
2026-06-02T02:09:22,4.163,97.800,735.281,64,1,413.000,26.000
2026-06-02T02:09:24,6.240,98.000,1469.297,83,2,522.000,25.000
2026-06-02T02:09:26,8.321,98.200,2297.234,83,2,538.000,54.000
2026-06-02T02:09:28,10.398,0.000,821.727,65,2,413.000,43.000
2026-06-02T02:09:30,12.487,98.400,1676.770,152,3,550.000,4.000
2026-06-02T02:09:32,14.564,98.000,1927.273,157,3,575.000,4.000
2026-06-02T02:09:35,16.654,195.700,2693.598,157,3,821.000,28.000
2026-06-02T02:09:37,18.741,196.200,3042.844,157,3,837.000,50.000
2026-06-02T02:09:39,20.816,295.300,3043.188,157,3,837.000,51.000
2026-06-02T02:09:41,22.910,293.500,3043.016,157,3,837.000,46.000
2026-06-02T02:09:43,25.003,293.800,3043.316,157,3,837.000,54.000
2026-06-02T02:09:45,27.080,295.800,3043.691,157,3,837.000,51.000
2026-06-02T02:09:47,29.155,293.600,3043.410,157,3,837.000,52.000
2026-06-02T02:09:49,31.245,294.800,3044.855,157,3,837.000,59.000
2026-06-02T02:09:51,33.333,294.600,3044.859,157,3,837.000,58.000
2026-06-02T02:09:53,35.422,196.000,3044.617,157,3,837.000,59.000
2026-06-02T02:09:55,37.509,294.000,3044.637,157,3,837.000,61.000
2026-06-02T02:09:58,39.597,195.800,3044.945,157,3,837.000,61.000
2026-06-02T02:10:00,41.688,0.000,3044.129,151,3,837.000,3.000
2026-06-02T02:10:02,43.764,98.100,1664.324,83,2,586.000,4.000
