Устройство;Сценарий;Схема multiprocessing;Количество камер;Основная метрика;Однопроцессный, кадры/с;Мультипроцессный, кадры/с;Ускорение;Снижение p95 задержки, %;Можно использовать в отчете
CPU;захват + обнаружение;в отдельном процессе только обнаружение;1;Обнаружение, кадры/с;1290,32;1319,51;1,02;-8,33;нет
CPU;захват + обнаружение;в отдельном процессе только обнаружение;2;Обнаружение, кадры/с;1277,85;1022,53;0,80;-28,57;нет
CPU;захват + обнаружение;в отдельном процессе только обнаружение;3;Обнаружение, кадры/с;1120,41;1009,69;0,90;-17,65;нет
CPU;захват + обнаружение;в отдельном процессе только обнаружение;4;Обнаружение, кадры/с;1027,04;1115,19;1,09;0,00;нет
CPU;полный пайплайн;в отдельном процессе только обнаружение;1;Обнаружение, кадры/с;0,15;13,99;92,39;-79,17;да
CPU;полный пайплайн;в отдельном процессе только обнаружение;2;Обнаружение, кадры/с;0,08;7,13;94,29;-82,76;да
CPU;полный пайплайн;в отдельном процессе только обнаружение;3;Обнаружение, кадры/с;0,05;8,23;163,10;-44,44;да
CPU;полный пайплайн;в отдельном процессе только обнаружение;4;Обнаружение, кадры/с;0,04;6,48;171,27;-60,53;да
CPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;1;Отслеживание, кадры/с;0,16;7,74;49,31;-65,00;да
CPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;2;Отслеживание, кадры/с;0,08;4,67;61,80;-53,85;да
CPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;3;Отслеживание, кадры/с;0,05;6,09;121,01;-66,67;да
CPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;4;Отслеживание, кадры/с;0,04;4,62;122,09;-57,14;да
GPU;захват + обнаружение;в отдельном процессе только обнаружение;1;Обнаружение, кадры/с;1155,13;1117,00;0,97;-7,14;нет
GPU;захват + обнаружение;в отдельном процессе только обнаружение;2;Обнаружение, кадры/с;1092,03;997,56;0,91;-12,50;нет
GPU;захват + обнаружение;в отдельном процессе только обнаружение;3;Обнаружение, кадры/с;940,68;957,56;1,02;-5,00;нет
GPU;захват + обнаружение;в отдельном процессе только обнаружение;4;Обнаружение, кадры/с;889,03;956,32;1,08;8,70;нет
GPU;полный пайплайн;в отдельном процессе только обнаружение;1;Обнаружение, кадры/с;27,44;51,56;1,88;-23,73;да
GPU;полный пайплайн;в отдельном процессе только обнаружение;2;Обнаружение, кадры/с;14,54;29,99;2,06;-86,89;да
GPU;полный пайплайн;в отдельном процессе только обнаружение;3;Обнаружение, кадры/с;8,59;30,56;3,56;-20,97;да
GPU;полный пайплайн;в отдельном процессе только обнаружение;4;Обнаружение, кадры/с;5,40;22,87;4,24;-15,94;да
GPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;1;Отслеживание, кадры/с;25,29;32,17;1,27;-4,44;да
GPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;2;Отслеживание, кадры/с;11,67;21,58;1,85;-17,31;да
GPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;3;Отслеживание, кадры/с;6,71;22,54;3,36;-38,78;да
GPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;4;Отслеживание, кадры/с;4,68;16,71;3,57;-10,17;да
