Устройство;Сценарий;Схема multiprocessing;Количество камер;Режим;Основная метрика;Основная метрика, кадры/с;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU, %;GPU-RAM, ГБ;Ошибки;Валидный прогон;Ресурсы в пределах;Можно использовать в отчете
CPU;захват + обнаружение;в отдельном процессе только обнаружение;1;Мультипроцессный;Обнаружение, кадры/с;1319,51;116,62;1319,51;-;116,75;1,30;245,19;1,60;26,99;0,40;0;нет;да;нет
CPU;захват + обнаружение;в отдельном процессе только обнаружение;1;Однопроцессный;Обнаружение, кадры/с;1290,32;116,18;1290,32;-;116,15;1,20;172,92;0,89;30,49;0,40;0;да;да;да
CPU;захват + обнаружение;в отдельном процессе только обнаружение;2;Мультипроцессный;Обнаружение, кадры/с;1022,53;116,55;1022,53;-;116,69;1,80;254,32;1,65;28,06;0,40;0;нет;да;нет
CPU;захват + обнаружение;в отдельном процессе только обнаружение;2;Однопроцессный;Обнаружение, кадры/с;1277,85;116,25;1277,85;-;116,21;1,40;176,13;0,91;30,55;0,40;0;да;да;да
CPU;захват + обнаружение;в отдельном процессе только обнаружение;3;Мультипроцессный;Обнаружение, кадры/с;1009,69;116,69;1009,69;-;116,65;2,00;249,93;1,67;28,23;0,40;0;нет;да;нет
CPU;захват + обнаружение;в отдельном процессе только обнаружение;3;Однопроцессный;Обнаружение, кадры/с;1120,41;116,18;1120,41;-;116,15;1,70;214,08;0,94;29,43;0,40;0;да;да;да
CPU;захват + обнаружение;в отдельном процессе только обнаружение;4;Мультипроцессный;Обнаружение, кадры/с;1115,19;116,67;1115,19;-;116,65;1,90;259,76;1,71;27,28;0,51;0;нет;да;нет
CPU;захват + обнаружение;в отдельном процессе только обнаружение;4;Однопроцессный;Обнаружение, кадры/с;1027,04;116,18;1027,04;-;116,16;1,90;204,26;0,95;27,45;0,40;0;да;да;да
CPU;полный пайплайн;в отдельном процессе только обнаружение;1;Мультипроцессный;Обнаружение, кадры/с;13,99;116,75;13,99;7,77;116,90;4,30;2191,61;2,03;33,74;0,40;0;да;да;да
CPU;полный пайплайн;в отдельном процессе только обнаружение;1;Однопроцессный;Обнаружение, кадры/с;0,15;115,95;0,15;0,15;116,09;2,40;238,78;1,33;32,13;0,40;0;да;да;да
