Устройство;Сценарий;Схема multiprocessing;Количество камер;Режим;Основная метрика;Основная метрика, кадры/с;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU, %;GPU-RAM, ГБ;Ошибки;Валидный прогон;Ресурсы в пределах;Можно использовать в отчете
CPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);1;Мультипроцессный;Обнаружение, кадры/с;16,34;116,27;16,34;16,30;116,23;3,50;836,88;2,38;31,72;0,40;0;да;да;да
CPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);1;Однопроцессный;Обнаружение, кадры/с;0,16;115,90;0,16;0,16;115,87;2,50;207,61;1,33;29,10;0,40;0;да;да;да
CPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);2;Мультипроцессный;Обнаружение, кадры/с;13,99;116,23;13,99;13,93;116,36;4,10;1611,49;3,96;33,25;0,40;0;да;да;да
CPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);2;Однопроцессный;Обнаружение, кадры/с;0,15;115,28;0,15;0,15;115,24;3,20;384,16;1,41;28,95;0,40;0;да;да;да
CPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);3;Мультипроцессный;Обнаружение, кадры/с;12,57;113,01;12,57;12,50;113,17;10,40;2393,75;5,53;33,59;0,41;0;да;да;да
CPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);3;Однопроцессный;Обнаружение, кадры/с;0,15;114,85;0,15;0,15;114,82;3,80;596,80;1,49;30,78;0,40;0;да;да;да
CPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);4;Мультипроцессный;Обнаружение, кадры/с;8,39;50,68;8,39;8,36;51,64;58,10;2741,44;7,06;26,21;0,40;0;да;да;да
CPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);4;Однопроцессный;Обнаружение, кадры/с;0,14;114,45;0,14;0,14;114,45;4,30;781,74;1,60;34,29;0,40;0;да;да;да
CPU;захват + обнаружение + отслеживание;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);1;Мультипроцессный;Отслеживание, кадры/с;17,06;116,34;17,10;17,06;116,31;2,80;845,08;2,39;32,12;0,40;0;да;да;да
CPU;захват + обнаружение + отслеживание;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);1;Однопроцессный;Отслеживание, кадры/с;0,15;115,97;0,15;0,15;116,10;2,10;200,26;1,33;28,20;0,53;0;да;да;да
CPU;захват + обнаружение + отслеживание;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);2;Мультипроцессный;Отслеживание, кадры/с;13,33;116,21;13,38;13,33;116,34;3,40;1597,15;3,95;32,59;0,40;0;да;да;да
CPU;захват + обнаружение + отслеживание;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);2;Однопроцессный;Отслеживание, кадры/с;0,15;115,34;0,15;0,15;115,30;2,80;386,90;1,41;29,86;0,40;0;да;да;да
CPU;захват + обнаружение + отслеживание;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);3;Мультипроцессный;Отслеживание, кадры/с;12,03;113,66;12,09;12,03;113,74;8,50;2415,63;5,51;28,78;0,40;0;да;да;да
