timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-06-03T22:24:11,2.077,98.400,505.258,32,1,414.000,20.000
2026-06-03T22:24:13,4.148,98.200,730.691,64,1,414.000,23.000
2026-06-03T22:24:15,6.228,0.000,822.938,64,1,414.000,28.000
2026-06-03T22:24:17,8.314,97.900,1802.160,85,3,523.000,4.000
2026-06-03T22:24:19,10.417,98.200,2329.141,85,3,553.000,46.000
2026-06-03T22:24:21,12.483,1674.700,1163.227,115,2,551.000,7.000
2026-06-03T22:24:23,14.546,294.300,1718.387,162,2,669.000,4.000
2026-06-03T22:24:25,16.622,97.700,1964.383,162,2,671.000,4.000
2026-06-03T22:24:28,18.698,195.600,2336.984,162,2,711.000,5.000
2026-06-03T22:24:30,20.771,195.800,2431.746,162,2,711.000,31.000
2026-06-03T22:24:32,22.846,195.300,2431.824,162,2,711.000,27.000
2026-06-03T22:24:34,24.922,98.100,2431.848,162,2,711.000,30.000
2026-06-03T22:24:36,26.986,97.800,2431.902,162,2,711.000,32.000
2026-06-03T22:24:38,29.070,293.700,2432.348,162,2,711.000,27.000
2026-06-03T22:24:40,31.133,196.900,2432.668,162,2,711.000,30.000
2026-06-03T22:24:42,33.198,196.400,2433.402,162,2,711.000,36.000
2026-06-03T22:24:44,35.273,97.800,2433.434,162,2,711.000,33.000
2026-06-03T22:24:46,37.349,195.600,2433.449,162,2,711.000,37.000
2026-06-03T22:24:48,39.420,197.300,2433.449,162,2,711.000,32.000
2026-06-03T22:24:50,41.497,196.500,2433.449,162,2,711.000,34.000
2026-06-03T22:24:52,43.571,98.200,2433.039,82,2,711.000,4.000
