Устройство;Сценарий;Схема multiprocessing;Количество камер;Основная метрика;Однопроцессный, кадры/с;Мультипроцессный, кадры/с;Ускорение;Снижение p95 задержки, %;Можно использовать в отчете
CPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);1;Обнаружение, кадры/с;0,16;16,34;104,16;-40,00;да
CPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);2;Обнаружение, кадры/с;0,15;13,99;95,74;-28,12;да
CPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);3;Обнаружение, кадры/с;0,15;12,57;86,12;-173,68;да
CPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);4;Обнаружение, кадры/с;0,14;8,39;58,16;-1251,16;да
CPU;захват + обнаружение + отслеживание;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);1;Отслеживание, кадры/с;0,15;17,06;113,09;-33,33;да
CPU;захват + обнаружение + отслеживание;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);2;Отслеживание, кадры/с;0,15;13,33;87,95;-21,43;да
CPU;захват + обнаружение + отслеживание;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);3;Отслеживание, кадры/с;0,15;12,03;82,41;-136,11;да
CPU;захват + обнаружение + отслеживание;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);4;Отслеживание, кадры/с;0,14;8,45;59,13;-1122,50;да
GPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);1;Обнаружение, кадры/с;27,79;51,57;1,86;36,51;да
GPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);2;Обнаружение, кадры/с;10,19;49,85;4,89;39,58;да
GPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);3;Обнаружение, кадры/с;5,70;48,46;8,50;44,78;да
GPU;полный пайплайн;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);4;Обнаружение, кадры/с;3,59;47,08;13,12;46,11;да
GPU;захват + обнаружение + отслеживание;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);1;Отслеживание, кадры/с;25,19;50,93;2,02;25,58;да
GPU;захват + обнаружение + отслеживание;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);2;Отслеживание, кадры/с;10,95;49,18;4,49;22,86;да
GPU;захват + обнаружение + отслеживание;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);3;Отслеживание, кадры/с;6,03;47,14;7,82;32,97;да
GPU;захват + обнаружение + отслеживание;захват, обнаружение и отслеживание в отдельных процессах (по одному процессу на камеру);4;Отслеживание, кадры/с;3,68;47,31;12,87;38,89;да
