log_file;slug;capture;mode;run_index;pipeline_ticks;pct_det_len0;pct_trk_len0;detectors_in_sum;trackers_out_sum;lag_ratio;mc_batch_in_sum;mc_emitted_sum;drop_events;errors;tracebacks;mp_pending_mean;mp_pending_max;mp_pending_p95;mp_dropped_sum;mp_pending_evict_max
reports/poly_videos_mode_compare/logs/poly-videos_gst_process_run01.log;poly-videos_gst_process;gst;process;1;29;62.07;158.62;1009;545;1.851;27;5;0;0;0;11.62;32;24.0;0;46
reports/poly_videos_mode_compare/logs/poly-videos_gst_process_run02.log;poly-videos_gst_process;gst;process;2;29;51.72;141.38;1113;518;2.149;23;30;0;0;0;11.79;33;28.0;0;44
reports/poly_videos_mode_compare/logs/poly-videos_gst_process_run03.log;poly-videos_gst_process;gst;process;3;28;46.43;167.86;1060;500;2.12;14;15;0;0;0;12.46;33;29.0;0;44
reports/poly_videos_mode_compare/logs/poly-videos_gst_process_run04.log;poly-videos_gst_process;gst;process;4;28;50.0;160.71;1032;507;2.036;19;20;0;0;0;11.39;32;27.0;0;45
reports/poly_videos_mode_compare/logs/poly-videos_gst_process_run05.log;poly-videos_gst_process;gst;process;5;28;64.29;146.43;1062;516;2.058;21;10;0;0;0;11.5;29;28.0;0;39
reports/poly_videos_mode_compare/logs/poly-videos_gst_thread_run01.log;poly-videos_gst_thread;gst;thread;1;12;75.0;166.67;1008;127;7.937;5;10;0;0;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/logs/poly-videos_gst_thread_run02.log;poly-videos_gst_thread;gst;thread;2;12;91.67;166.67;960;127;7.559;4;5;0;0;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/logs/poly-videos_gst_thread_run03.log;poly-videos_gst_thread;gst;thread;3;11;72.73;154.55;936;122;7.672;4;5;0;0;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/logs/poly-videos_gst_thread_run04.log;poly-videos_gst_thread;gst;thread;4;12;91.67;183.33;981;123;7.976;2;0;0;0;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/logs/poly-videos_gst_thread_run05.log;poly-videos_gst_thread;gst;thread;5;12;83.33;150.0;961;127;7.567;10;5;0;0;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/logs/poly-videos_opencv_process_run01.log;poly-videos_opencv_process;opencv;process;1;23;43.48;117.39;1247;583;2.139;37;25;0;0;0;16.17;30;26.0;0;62
reports/poly_videos_mode_compare/logs/poly-videos_opencv_process_run02.log;poly-videos_opencv_process;opencv;process;2;23;56.52;121.74;1251;565;2.214;32;20;0;0;0;16;28;27.0;0;59
reports/poly_videos_mode_compare/logs/poly-videos_opencv_process_run03.log;poly-videos_opencv_process;opencv;process;3;22;50.0;127.27;1243;581;2.139;29;10;0;0;0;16.41;30;28.0;0;66
reports/poly_videos_mode_compare/logs/poly-videos_opencv_process_run04.log;poly-videos_opencv_process;opencv;process;4;23;52.17;117.39;1245;573;2.173;22;25;0;0;0;15.65;29;28.0;0;56
reports/poly_videos_mode_compare/logs/poly-videos_opencv_process_run05.log;poly-videos_opencv_process;opencv;process;5;22;54.55;122.73;1261;567;2.224;27;20;0;0;0;16.82;30;29.0;0;59
reports/poly_videos_mode_compare/logs/poly-videos_opencv_thread_run01.log;poly-videos_opencv_thread;opencv;thread;1;28;50.0;146.43;1830;643;2.846;22;5;0;4;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/logs/poly-videos_opencv_thread_run02.log;poly-videos_opencv_thread;opencv;thread;2;28;46.43;139.29;1866;656;2.845;17;20;0;2;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/logs/poly-videos_opencv_thread_run03.log;poly-videos_opencv_thread;opencv;thread;3;28;42.86;150.0;1846;659;2.801;15;10;0;4;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/logs/poly-videos_opencv_thread_run04.log;poly-videos_opencv_thread;opencv;thread;4;28;53.57;135.71;1839;658;2.795;22;20;0;3;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/logs/poly-videos_opencv_thread_run05.log;poly-videos_opencv_thread;opencv;thread;5;28;46.43;146.43;1835;650;2.823;23;0;0;3;0;0;0;0.0;0;0
