slug;capture;mode;run_index;avg_capture_fps;pipeline_hz_est;p95_pipeline_ms;avg_pipeline_ms;detector_fps_est;tracker_fps_est;visual_fps_est;avg_cpu_percent;max_ram_gb;max_gpu_ram_gb;errors;tracebacks;exit_code;timed_out;success
poly-videos_opencv_process;opencv;process;1;;14.73171284492039;140.9;67.88076923076925;39.73105134474327;31.393383240763107;83.81367168495602;0.0;29.230376953125;4.34765625;0;0;0;False;True
poly-videos_opencv_process;opencv;process;2;;15.861395802830646;117.9;63.04615384615386;53.94190871369296;33.85857533533011;165.27439833363152;0.0;29.078376953125;4.34765625;0;0;0;False;True
poly-videos_opencv_process;opencv;process;3;;17.240236058616805;106.3;58.00384615384614;63.91347099311702;32.774486322954736;255.56688067701327;0.0;29.0914951171875;4.3623046875;0;0;0;False;True
poly-videos_opencv_process;opencv;process;4;;14.248261712071125;139.5;70.18400000000001;54.608999563128;25.01500900540324;80.12924149096497;0.0;29.1764453125;4.3623046875;0;0;0;False;True
poly-videos_opencv_process;opencv;process;5;;14.594279042615296;134.2;68.52;48.34654805646878;32.7139492279508;84.43347002917885;0.0;29.08184765625;4.3623046875;0;0;0;False;True
poly-videos_opencv_thread;opencv;thread;1;;39.4421749542189;67.0;25.35357142857143;204.828090709583;108.61132660977502;125.7343558815415;0.0;11.1695634765625;1.37890625;5;0;0;False;True
poly-videos_opencv_thread;opencv;thread;2;;29.56769983686786;90.3;33.820689655172416;179.01234567901236;90.93759799310126;104.62789036820038;0.0;10.689025390625;1.3779296875;4;0;0;False;True
poly-videos_opencv_thread;opencv;thread;3;;41.043682204632084;51.0;24.364285714285707;232.36514522821577;111.7764471057884;171.83888888843163;0.0;7.9215888671875;1.4111328125;9;0;0;False;True
poly-videos_opencv_thread;opencv;thread;4;;41.31621661502141;56.8;24.203571428571422;239.11187019641332;132.262635805385;136.4854626603331;0.0;11.527736328125;1.4013671875;3;0;0;False;True
poly-videos_opencv_thread;opencv;thread;5;;40.93732354601919;43.3;24.427586206896557;208.63309352517985;120.08281573498965;118.97144375081997;0.0;11.1327783203125;1.3876953125;1;0;0;False;True
poly-videos_gst_process;gst;process;1;;21.28530495292673;127.1;46.98076923076923;79.97539218701937;38.2859667206597;136.43188242113013;0.0;31.821193359375;4.4013671875;0;0;0;False;True
poly-videos_gst_process;gst;process;2;;18.997707173272197;134.1;52.63793103448275;70.26896050399803;41.95601851851852;81.17263676486314;0.0;32.5668720703125;4.4013671875;0;0;0;False;True
poly-videos_gst_process;gst;process;3;;18.807467261075512;151.0;53.170370370370364;68.89512630773157;37.862852334875896;111.73209542177938;0.0;32.100185546875;4.416015625;0;0;0;False;True
poly-videos_gst_process;gst;process;4;;22.80405405405405;123.7;43.85185185185186;75.20891364902508;55.407346603734865;128.26640100401008;0.0;31.94041796875;4.412109375;0;0;0;False;True
poly-videos_gst_process;gst;process;5;;20.672939834616482;109.8;48.37241379310345;81.34642356241233;38.61517976031958;119.48167867983665;0.0;32.970935546875;4.4013671875;0;0;0;False;True
poly-videos_gst_thread;gst;thread;1;;27.075812274368232;61.9;36.93333333333333;169.97167138810198;67.59294029290274;89.26339062798503;0.0;9.7188603515625;1.890625;0;0;0;False;True
poly-videos_gst_thread;gst;thread;2;;19.808014627456956;84.5;50.48461538461538;149.5972382048332;71.19386637458926;115.9383956083084;0.0;10.9161533203125;1.8896484375;0;0;0;False;True
poly-videos_gst_thread;gst;thread;3;;28.75629043853343;57.7;34.775;193.0036188178528;95.86578789694427;84.03418952108181;0.0;12.60189453125;1.8818359375;0;0;0;False;True
poly-videos_gst_thread;gst;thread;4;;15.370821058024852;127.8;65.05833333333332;69.32409012131717;43.82761139517896;68.18353533479446;0.0;10.2552568359375;1.8525390625;0;0;0;False;True
poly-videos_gst_thread;gst;thread;5;;23.36107460943203;90.0;42.806250000000006;132.23140495867767;77.36943907156673;81.92421465579605;0.0;11.8430751953125;1.8740234375;0;0;0;False;True
