timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-05-22T09:09:46,2.062,0.000,506.160,32,1,495.000,22.000
2026-05-22T09:09:49,4.138,0.000,730.879,64,1,491.000,21.000
2026-05-22T09:09:51,6.220,0.000,990.711,85,5,488.000,20.000
2026-05-22T09:09:53,8.344,0.000,2934.188,148,5,487.000,17.000
2026-05-22T09:09:55,10.457,0.000,3090.668,148,5,487.000,21.000
2026-05-22T09:09:57,12.686,0.000,3227.102,148,5,487.000,45.000
2026-05-22T09:09:59,14.804,0.000,3357.914,148,5,487.000,43.000
2026-05-22T09:10:01,16.945,0.000,3668.395,152,5,648.000,20.000
2026-05-22T09:10:04,19.076,0.000,4157.215,153,5,712.000,18.000
2026-05-22T09:10:06,21.269,0.000,4571.574,156,5,911.000,24.000
2026-05-22T09:10:09,24.112,0.000,4640.770,157,5,1291.000,33.000
2026-05-22T09:10:12,27.192,0.000,4586.215,156,5,1785.000,30.000
2026-05-22T09:10:14,29.759,0.000,4688.191,156,5,2885.000,51.000
2026-05-22T09:10:16,31.994,0.000,4566.246,156,5,3977.000,39.000
2026-05-22T09:10:19,34.158,0.000,4586.652,157,5,4485.000,63.000
2026-05-22T09:10:21,36.363,0.000,4625.297,156,5,4735.000,43.000
2026-05-22T09:10:23,38.581,0.000,4620.711,156,5,4735.000,25.000
2026-05-22T09:10:25,40.762,0.000,4670.438,156,5,4735.000,80.000
2026-05-22T09:10:27,42.932,0.000,4627.164,156,5,4735.000,82.000
2026-05-22T09:10:29,44.983,0.000,3340.992,104,5,4735.000,36.000
2026-05-22T09:10:31,47.039,0.000,2572.816,83,3,4735.000,15.000
2026-05-22T09:10:34,49.096,0.000,1057.215,66,2,4490.000,16.000
