timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-05-22T09:10:41,2.066,0.000,505.418,32,1,3482.000,13.000
2026-05-22T09:10:43,4.125,0.000,729.082,64,1,2932.000,14.000
2026-05-22T09:10:45,6.687,0.000,1562.352,121,15,1039.000,22.000
2026-05-22T09:10:48,8.782,0.000,8745.664,309,15,487.000,14.000
2026-05-22T09:10:50,10.884,0.000,9474.074,309,15,487.000,23.000
2026-05-22T09:10:52,12.977,0.000,10400.516,311,15,489.000,24.000
2026-05-22T09:10:54,15.115,0.000,12474.270,330,15,1425.000,33.000
2026-05-22T09:10:56,17.237,0.000,14894.625,340,15,1771.000,42.000
2026-05-22T09:10:58,19.400,0.000,15377.375,349,15,1822.000,75.000
2026-05-22T09:11:00,21.583,0.000,15533.238,350,15,1822.000,63.000
2026-05-22T09:11:02,23.726,0.000,15479.730,348,15,1822.000,71.000
2026-05-22T09:11:05,25.892,0.000,15445.715,350,15,1822.000,73.000
2026-05-22T09:11:07,28.026,0.000,15371.730,348,15,1822.000,67.000
2026-05-22T09:11:09,30.192,0.000,15508.516,348,15,1831.000,69.000
2026-05-22T09:11:11,32.342,0.000,15423.387,348,15,1939.000,59.000
2026-05-22T09:11:13,34.486,0.000,15361.586,349,15,1939.000,40.000
2026-05-22T09:11:15,36.610,0.000,15455.062,350,15,1935.000,58.000
2026-05-22T09:11:18,38.766,0.000,15437.398,350,15,1959.000,66.000
2026-05-22T09:11:20,40.911,0.000,15445.242,350,15,1959.000,49.000
2026-05-22T09:11:22,43.006,0.000,15129.121,342,15,1959.000,37.000
2026-05-22T09:11:24,45.070,0.000,12407.363,190,12,1959.000,15.000
2026-05-22T09:11:26,47.140,0.000,11637.055,168,11,1959.000,15.000
2026-05-22T09:11:28,49.209,0.000,10873.238,159,10,1985.000,15.000
2026-05-22T09:11:30,51.280,0.000,9347.055,143,8,2657.000,46.000
2026-05-22T09:11:32,53.347,0.000,8583.180,121,7,2723.000,44.000
2026-05-22T09:11:34,55.408,0.000,7159.359,114,7,2723.000,46.000
2026-05-22T09:11:36,57.476,0.000,5757.336,99,5,2203.000,36.000
2026-05-22T09:11:38,59.549,0.000,4346.945,88,4,1910.000,36.000
2026-05-22T09:11:40,61.638,0.000,2943.246,81,4,1729.000,42.000
2026-05-22T09:11:42,63.722,0.000,1542.355,67,2,1453.000,44.000
2026-05-22T09:11:45,65.793,0.000,1608.055,65,2,1453.000,46.000
