timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-05-22T09:07:34,2.065,0.000,504.809,32,1,495.000,22.000
2026-05-22T09:07:36,4.121,0.000,729.516,64,1,491.000,50.000
2026-05-22T09:07:38,6.200,0.000,1996.082,171,25,489.000,24.000
2026-05-22T09:07:41,8.337,0.000,13537.727,356,25,488.000,22.000
2026-05-22T09:07:43,10.511,0.000,15060.109,368,25,488.000,44.000
2026-05-22T09:07:45,12.647,0.000,16345.637,370,25,487.000,23.000
2026-05-22T09:07:47,14.841,0.000,17779.164,370,25,502.000,24.000
2026-05-22T09:07:50,17.705,0.000,20454.730,418,25,1099.000,21.000
2026-05-22T09:07:52,19.894,0.000,23508.094,437,25,3288.000,29.000
2026-05-22T09:07:54,22.118,0.000,28897.609,447,25,4262.000,41.000
2026-05-22T09:07:56,24.257,0.000,29428.645,459,25,4484.000,82.000
2026-05-22T09:07:59,26.422,0.000,29718.750,459,25,4484.000,82.000
2026-05-22T09:08:01,28.566,0.000,29668.551,459,25,4484.000,62.000
2026-05-22T09:08:03,30.735,0.000,29734.910,460,25,4484.000,85.000
2026-05-22T09:08:05,32.930,0.000,29766.160,458,25,4484.000,79.000
2026-05-22T09:08:07,35.078,0.000,29788.160,459,25,4484.000,52.000
2026-05-22T09:08:09,37.238,0.000,29719.531,459,25,4500.000,82.000
2026-05-22T09:08:12,39.383,0.000,29738.008,459,25,4498.000,51.000
2026-05-22T09:08:14,41.540,0.000,29907.281,458,25,4490.000,55.000
2026-05-22T09:08:16,43.590,0.000,26635.184,302,25,4490.000,14.000
2026-05-22T09:08:18,45.651,0.000,26635.234,286,22,4490.000,14.000
2026-05-22T09:08:20,47.717,0.000,25101.160,269,20,4490.000,15.000
2026-05-22T09:08:22,49.785,0.000,22816.805,243,17,4490.000,14.000
2026-05-22T09:08:24,51.850,0.000,21356.406,217,16,4245.000,14.000
2026-05-22T09:08:26,53.915,0.000,18554.246,193,14,3755.000,15.000
2026-05-22T09:08:28,55.978,0.000,15753.297,180,12,3205.000,13.000
2026-05-22T09:08:30,58.039,0.000,12945.652,156,10,2636.000,13.000
2026-05-22T09:08:32,60.101,0.000,10145.816,132,8,2050.000,24.000
2026-05-22T09:08:34,62.144,0.000,7339.410,114,6,1560.000,18.000
2026-05-22T09:08:36,64.208,0.000,4535.852,85,4,1040.000,23.000
2026-05-22T09:08:39,66.267,0.000,1737.219,66,2,487.000,45.000
