log_file;slug;capture;mode;run_index;pipeline_ticks;pct_det_len0;pct_trk_len0;detectors_in_sum;trackers_out_sum;lag_ratio;mc_batch_in_sum;mc_emitted_sum;drop_events;errors;tracebacks;mp_pending_mean;mp_pending_max;mp_pending_p95;mp_dropped_sum;mp_pending_evict_max
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_gst_process_run01.log;poly-videos_gst_process;gst;process;1;25;64.0;164.0;957;420;2.279;11;5;0;0;0;9.64;31;24.0;0;34
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_gst_process_run02.log;poly-videos_gst_process;gst;process;2;26;53.85;157.69;951;454;2.095;18;10;0;0;0;9.92;32;31.0;0;35
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_gst_process_run03.log;poly-videos_gst_process;gst;process;3;25;64.0;180.0;917;444;2.065;10;5;0;0;0;9.84;33;29.0;0;36
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_gst_process_run04.log;poly-videos_gst_process;gst;process;4;28;64.29;160.71;939;440;2.134;16;10;0;0;0;9.5;31;28.0;0;36
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_gst_process_run05.log;poly-videos_gst_process;gst;process;5;28;57.14;175.0;959;426;2.251;11;5;0;0;0;8.82;27;26.0;0;35
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_gst_thread_run01.log;poly-videos_gst_thread;gst;thread;1;6;83.33;200.0;550;0;550.0;0;0;0;0;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_gst_thread_run02.log;poly-videos_gst_thread;gst;thread;2;6;100.0;200.0;577;0;577.0;0;0;0;0;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_gst_thread_run03.log;poly-videos_gst_thread;gst;thread;3;5;100.0;200.0;485;0;485.0;0;0;0;0;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_gst_thread_run04.log;poly-videos_gst_thread;gst;thread;4;6;83.33;200.0;563;0;563.0;0;0;0;0;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_gst_thread_run05.log;poly-videos_gst_thread;gst;thread;5;5;80.0;200.0;461;0;461.0;0;0;0;0;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_opencv_process_run01.log;poly-videos_opencv_process;opencv;process;1;20;45.0;105.0;1231;559;2.202;28;25;0;0;0;15.4;29;24.0;0;53
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_opencv_process_run02.log;poly-videos_opencv_process;opencv;process;2;20;45.0;120.0;1233;569;2.167;34;15;0;0;0;16.95;30;27.0;0;56
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_opencv_process_run03.log;poly-videos_opencv_process;opencv;process;3;20;40.0;115.0;1231;565;2.179;34;15;0;0;0;17.4;30;29.0;0;57
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_opencv_process_run04.log;poly-videos_opencv_process;opencv;process;4;20;55.0;130.0;1224;547;2.238;26;15;0;0;0;16.4;28;25.0;0;54
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_opencv_process_run05.log;poly-videos_opencv_process;opencv;process;5;20;50.0;120.0;1216;557;2.183;28;20;0;0;0;16.2;38;30.0;0;57
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_opencv_thread_run01.log;poly-videos_opencv_thread;opencv;thread;1;28;50.0;157.14;1852;643;2.88;21;5;0;6;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_opencv_thread_run02.log;poly-videos_opencv_thread;opencv;thread;2;28;50.0;128.57;1825;651;2.803;24;15;0;1;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_opencv_thread_run03.log;poly-videos_opencv_thread;opencv;thread;3;28;50.0;146.43;1850;661;2.799;22;15;0;5;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_opencv_thread_run04.log;poly-videos_opencv_thread;opencv;thread;4;28;46.43;125.0;1844;651;2.833;30;25;0;7;0;0;0;0.0;0;0
reports/poly_videos_mode_compare/phase3_final/logs/poly-videos_opencv_thread_run05.log;poly-videos_opencv_thread;opencv;thread;5;28;46.43;117.86;1871;657;2.848;26;25;0;6;0;0;0;0.0;0;0
