timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-05-22T13:35:42,2.048,0.000,500.055,32,1,505.000,22.000
2026-05-22T13:35:44,4.092,0.000,719.645,64,1,505.000,23.000
2026-05-22T13:35:46,6.138,0.000,824.094,65,1,505.000,49.000
2026-05-22T13:35:48,8.218,0.000,11558.016,212,25,832.000,17.000
2026-05-22T13:35:50,10.430,0.000,15129.266,423,25,1065.000,16.000
2026-05-22T13:35:52,12.655,0.000,18245.789,455,25,1065.000,15.000
2026-05-22T13:35:55,15.130,0.000,19003.129,474,25,1093.000,18.000
2026-05-22T13:35:57,17.875,0.000,20750.031,553,25,1391.000,16.000
2026-05-22T13:36:00,20.694,0.000,22006.707,566,25,1865.000,16.000
2026-05-22T13:36:03,23.046,0.000,23828.500,513,25,3181.000,26.000
2026-05-22T13:36:05,25.404,0.000,28366.777,545,25,4080.000,40.000
2026-05-22T13:36:07,27.619,0.000,30489.137,542,25,4544.000,84.000
2026-05-22T13:36:09,29.778,0.000,30865.934,573,25,4602.000,47.000
2026-05-22T13:36:12,31.993,0.000,31025.797,569,25,4598.000,63.000
2026-05-22T13:36:14,34.211,0.000,31375.195,573,25,4591.000,49.000
2026-05-22T13:36:16,36.517,0.000,31473.027,536,25,4591.000,56.000
2026-05-22T13:36:18,38.706,0.000,31475.191,540,25,4591.000,79.000
2026-05-22T13:36:20,40.941,0.000,31641.887,605,25,4591.000,71.000
2026-05-22T13:36:23,43.178,0.000,31687.703,542,25,4591.000,81.000
2026-05-22T13:36:25,45.413,0.000,31918.996,557,25,4590.000,50.000
2026-05-22T13:36:27,47.557,0.000,32037.680,555,25,4591.000,35.000
2026-05-22T13:36:29,49.707,0.000,31842.582,524,25,4591.000,33.000
2026-05-22T13:36:31,51.801,0.000,29262.914,380,23,4228.000,44.000
2026-05-22T13:36:33,53.896,0.000,29283.387,380,23,4228.000,27.000
2026-05-22T13:36:35,55.961,0.000,29259.031,364,23,4228.000,44.000
2026-05-22T13:36:38,58.065,0.000,29345.031,364,23,4228.000,35.000
2026-05-22T13:36:40,60.124,0.000,29001.293,310,23,4108.000,38.000
2026-05-22T13:36:42,62.190,0.000,26957.418,277,21,4030.000,14.000
2026-05-22T13:36:44,64.253,0.000,25431.293,261,19,4030.000,14.000
2026-05-22T13:36:46,66.318,0.000,23270.449,226,17,4030.000,13.000
2026-05-22T13:36:48,68.381,0.000,20427.141,207,15,3540.000,13.000
2026-05-22T13:36:50,70.444,0.000,17595.945,183,13,3104.000,22.000
2026-05-22T13:36:52,72.507,0.000,14772.020,159,11,2721.000,22.000
2026-05-22T13:36:54,74.571,0.000,11970.176,146,9,2135.000,23.000
2026-05-22T13:36:56,76.626,0.000,10535.379,126,8,1842.000,22.000
2026-05-22T13:36:58,78.683,0.000,7686.180,108,6,1352.000,32.000
2026-05-22T13:37:00,80.742,0.000,4875.383,89,4,915.000,45.000
2026-05-22T13:37:02,82.804,0.000,3469.234,75,3,724.000,47.000
