timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-05-22T11:10:12,2.045,0.000,503.395,32,1,498.000,13.000
2026-05-22T11:10:15,4.101,0.000,726.430,64,1,490.000,22.000
2026-05-22T11:10:17,6.177,0.000,1549.367,171,25,490.000,25.000
2026-05-22T11:10:19,8.239,0.000,11663.449,215,25,821.000,16.000
2026-05-22T11:10:21,10.433,0.000,15709.816,475,25,1049.000,17.000
2026-05-22T11:10:23,12.639,0.000,18104.613,486,25,1049.000,14.000
2026-05-22T11:10:26,15.172,0.000,19580.750,475,25,1259.000,18.000
2026-05-22T11:10:29,18.631,0.000,21254.543,540,25,1675.000,32.000
2026-05-22T11:10:32,21.334,0.000,23191.535,533,25,2555.000,35.000
2026-05-22T11:10:34,23.667,0.000,27588.742,529,25,4023.000,21.000
2026-05-22T11:10:36,25.854,0.000,30406.605,537,25,4527.000,34.000
2026-05-22T11:10:38,28.073,0.000,30660.062,542,25,4547.000,37.000
2026-05-22T11:10:41,30.292,0.000,30865.129,541,25,4547.000,35.000
2026-05-22T11:10:43,32.494,0.000,31077.352,557,25,4547.000,77.000
2026-05-22T11:10:45,34.638,0.000,31386.145,541,25,4547.000,52.000
2026-05-22T11:10:47,36.798,0.000,31562.527,494,25,4547.000,48.000
2026-05-22T11:10:49,38.968,0.000,31680.984,494,25,4547.000,65.000
2026-05-22T11:10:52,41.185,0.000,31969.035,511,25,4547.000,50.000
2026-05-22T11:10:54,43.345,0.000,32120.660,494,25,4547.000,37.000
2026-05-22T11:10:56,45.471,0.000,32214.793,444,25,4455.000,55.000
2026-05-22T11:10:58,47.551,0.000,29868.535,364,23,4243.000,39.000
2026-05-22T11:11:00,49.636,0.000,29837.820,364,23,4211.000,46.000
2026-05-22T11:11:02,51.734,0.000,29910.180,364,23,4205.000,31.000
2026-05-22T11:11:04,53.828,0.000,29898.375,364,23,4208.000,33.000
2026-05-22T11:11:06,55.891,0.000,28257.023,300,23,4002.000,26.000
2026-05-22T11:11:08,57.957,0.000,27472.629,277,21,3997.000,13.000
2026-05-22T11:11:10,60.020,0.000,25949.422,261,19,4005.000,14.000
2026-05-22T11:11:13,62.087,0.000,23648.871,226,17,4004.000,14.000
2026-05-22T11:11:15,64.139,0.000,20818.820,208,15,3511.000,16.000
2026-05-22T11:11:17,66.219,0.000,17986.031,191,14,3075.000,15.000
2026-05-22T11:11:19,68.283,0.000,16577.844,174,12,2913.000,20.000
2026-05-22T11:11:21,70.347,0.000,13736.840,150,10,2401.000,22.000
2026-05-22T11:11:23,72.396,0.000,10968.043,126,8,1814.000,33.000
2026-05-22T11:11:25,74.499,0.000,8096.555,115,7,1560.000,21.000
2026-05-22T11:11:27,76.557,0.000,6694.035,93,5,1070.000,21.000
2026-05-22T11:11:29,78.603,0.000,3885.852,80,3,688.000,21.000
2026-05-22T11:11:31,80.667,0.000,2434.461,66,2,494.000,26.000
