timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-05-22T11:03:32,2.045,0.000,504.109,32,1,489.000,20.000
2026-05-22T11:03:34,4.103,0.000,727.383,64,1,489.000,21.000
2026-05-22T11:03:36,6.179,0.000,1704.863,171,25,489.000,21.000
2026-05-22T11:03:38,8.309,0.000,13349.336,358,25,487.000,24.000
2026-05-22T11:03:40,10.439,0.000,14761.254,368,25,487.000,21.000
2026-05-22T11:03:42,12.562,0.000,16051.688,369,25,487.000,22.000
2026-05-22T11:03:45,14.756,0.000,17414.789,373,25,487.000,22.000
2026-05-22T11:03:47,17.531,0.000,19725.242,443,25,1109.000,14.000
2026-05-22T11:03:49,19.712,0.000,22568.121,459,25,3276.000,25.000
2026-05-22T11:03:52,21.848,0.000,28240.723,462,25,4130.000,45.000
2026-05-22T11:03:54,23.995,0.000,29210.195,458,25,4490.000,49.000
2026-05-22T11:03:56,26.151,0.000,29191.777,460,25,4490.000,46.000
2026-05-22T11:03:58,28.288,0.000,29340.602,461,25,4490.000,71.000
2026-05-22T11:04:00,30.486,0.000,29294.832,459,25,4490.000,71.000
2026-05-22T11:04:02,32.661,0.000,29527.863,460,25,4490.000,54.000
2026-05-22T11:04:05,34.825,0.000,29407.520,460,25,4490.000,55.000
2026-05-22T11:04:07,36.979,0.000,29478.648,459,25,4490.000,56.000
2026-05-22T11:04:09,39.130,0.000,29520.098,459,25,4499.000,70.000
2026-05-22T11:04:11,41.279,0.000,29503.793,459,25,4498.000,31.000
2026-05-22T11:04:13,43.335,0.000,29096.016,463,25,4498.000,96.000
2026-05-22T11:04:15,45.392,0.000,26421.922,294,22,4490.000,13.000
2026-05-22T11:04:17,47.456,0.000,24892.570,269,20,4490.000,14.000
2026-05-22T11:04:19,49.511,0.000,23373.145,253,18,4490.000,13.000
2026-05-22T11:04:21,51.579,0.000,21193.070,224,17,4490.000,15.000
2026-05-22T11:04:23,53.650,0.000,19644.125,208,15,4000.000,13.000
2026-05-22T11:04:25,55.710,0.000,16808.367,184,13,3479.000,14.000
2026-05-22T11:04:28,57.769,0.000,14012.957,160,11,2929.000,14.000
2026-05-22T11:04:30,59.833,0.000,11199.938,142,9,2343.000,14.000
2026-05-22T11:04:32,61.934,0.000,8391.094,125,8,1805.000,22.000
2026-05-22T11:04:34,63.991,0.000,6971.852,109,6,1559.000,15.000
2026-05-22T11:04:36,66.054,0.000,4189.211,85,4,1039.000,22.000
2026-05-22T11:04:38,68.112,0.000,1391.234,66,2,487.000,23.000
