timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-05-22T09:13:01,2.094,0.000,383.875,32,1,4485.000,80.000
2026-05-22T09:13:04,4.204,0.000,486.465,32,1,4485.000,47.000
2026-05-22T09:13:06,6.316,0.000,507.516,32,1,4485.000,59.000
2026-05-22T09:13:08,8.418,0.000,604.281,64,1,4484.000,66.000
2026-05-22T09:13:10,10.519,0.000,679.953,64,1,4503.000,52.000
2026-05-22T09:13:12,12.637,0.000,731.703,64,1,4502.000,53.000
2026-05-22T09:13:14,14.759,0.000,779.727,64,1,4494.000,70.000
2026-05-22T09:13:16,16.860,0.000,821.336,65,1,4494.000,100.000
2026-05-22T09:13:18,18.965,0.000,1515.004,84,2,4603.000,68.000
2026-05-22T09:13:20,21.072,0.000,2115.590,84,2,4607.000,32.000
2026-05-22T09:13:23,23.193,0.000,1242.711,69,2,4607.000,45.000
2026-05-22T09:13:25,25.324,0.000,1210.406,85,1,4742.000,57.000
2026-05-22T09:13:27,27.485,0.000,1568.387,109,1,4810.000,53.000
2026-05-22T09:13:29,29.771,0.000,3001.703,238,1,5025.000,43.000
2026-05-22T09:13:31,31.936,0.000,4003.391,294,1,5191.000,28.000
2026-05-22T09:13:33,34.065,0.000,4086.828,284,1,5191.000,30.000
2026-05-22T09:13:36,36.251,0.000,4148.996,312,1,5191.000,68.000
2026-05-22T09:13:38,38.390,0.000,4450.828,306,1,5191.000,46.000
2026-05-22T09:13:40,40.532,0.000,4486.812,306,1,5191.000,47.000
2026-05-22T09:13:42,42.677,0.000,4615.277,353,1,5191.000,48.000
2026-05-22T09:13:44,44.841,0.000,4610.457,306,1,5191.000,45.000
2026-05-22T09:13:46,46.986,0.000,4624.312,305,1,5191.000,36.000
2026-05-22T09:13:48,49.127,0.000,4619.801,305,1,5191.000,39.000
2026-05-22T09:13:51,51.268,0.000,4887.547,305,1,5191.000,43.000
2026-05-22T09:13:53,53.413,0.000,4957.262,320,1,5191.000,43.000
2026-05-22T09:13:55,55.592,0.000,4972.613,396,1,5191.000,37.000
2026-05-22T09:13:57,57.735,0.000,4975.629,530,1,5191.000,26.000
2026-05-22T09:13:59,59.871,0.000,5110.953,530,1,5191.000,35.000
2026-05-22T09:14:01,62.003,0.000,5134.500,525,1,5191.000,51.000
2026-05-22T09:14:03,64.128,0.000,5292.719,514,1,5191.000,45.000
