timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-05-22T09:10:52,2.071,0.000,441.172,32,1,489.000,43.000
2026-05-22T09:10:54,4.185,0.000,493.617,32,1,1327.000,33.000
2026-05-22T09:10:56,6.286,0.000,572.594,64,1,1759.000,42.000
2026-05-22T09:10:58,8.424,0.000,658.441,64,1,1822.000,75.000
2026-05-22T09:11:00,10.559,0.000,673.457,64,1,1822.000,63.000
2026-05-22T09:11:02,12.684,0.000,724.137,64,1,1822.000,71.000
2026-05-22T09:11:04,14.817,0.000,736.102,64,1,1822.000,73.000
2026-05-22T09:11:06,16.942,0.000,793.254,64,1,1822.000,68.000
2026-05-22T09:11:09,19.078,0.000,821.312,65,1,1822.000,60.000
2026-05-22T09:11:11,21.203,0.000,1322.414,84,2,1939.000,59.000
2026-05-22T09:11:13,23.333,0.000,1792.293,84,2,1939.000,40.000
2026-05-22T09:11:15,25.464,0.000,1150.637,84,2,1931.000,58.000
2026-05-22T09:11:17,27.610,0.000,1117.371,82,1,1959.000,66.000
2026-05-22T09:11:19,29.742,0.000,1205.617,155,1,1959.000,34.000
2026-05-22T09:11:21,31.850,0.000,2974.559,272,1,1959.000,19.000
2026-05-22T09:11:23,33.914,0.000,3620.941,286,1,1959.000,15.000
2026-05-22T09:11:25,35.974,0.000,5163.680,497,1,1959.000,14.000
2026-05-22T09:11:28,38.034,0.000,6201.168,496,1,1959.000,13.000
2026-05-22T09:11:30,40.104,0.000,7946.902,495,1,2589.000,17.000
2026-05-22T09:11:32,42.168,0.000,9920.246,497,1,2723.000,44.000
2026-05-22T09:11:34,44.231,0.000,10995.496,497,1,2723.000,46.000
2026-05-22T09:11:36,46.300,0.000,11461.438,495,1,2478.000,36.000
2026-05-22T09:11:38,48.376,0.000,11337.438,495,1,2203.000,36.000
2026-05-22T09:11:40,50.445,0.000,11462.543,496,1,1910.000,42.000
2026-05-22T09:11:42,52.508,0.000,11706.922,495,1,1729.000,44.000
2026-05-22T09:11:44,54.584,0.000,11723.855,496,1,1453.000,46.000
2026-05-22T09:11:46,56.662,0.000,11820.605,495,1,1453.000,41.000
2026-05-22T09:11:48,58.729,0.000,11915.777,495,1,1455.000,49.000
2026-05-22T09:11:50,60.790,0.000,11947.992,494,1,1464.000,43.000
2026-05-22T09:11:52,62.859,0.000,11714.273,431,1,1466.000,13.000
